,MW,TPSA,XLogP,NHD,NHA,NRB
440,296.4,33.3,2.9,2,3,5
441,337.4,44.8,2.3,1,4,3
442,311.4,21.7,4.0,0,3,5
443,285.32,112.0,0.3,2,6,3
444,324.34,147.0,-0.9,3,7,8
445,395.6,60.9,4.9,1,4,6
446,53.06,23.8,0.2,0,1,0
447,351.8,46.3,1.6,0,4,3
448,567.8,127.0,5.7,4,6,10
449,588.5,26.3,10.4,0,2,7
450,348.5,74.6,2.6,2,4,2
451,316.5,37.3,4.4,1,2,1
452,402.5,97.7,2.1,1,6,4
453,212.31,64.4,2.1,1,2,4
454,283.4,23.5,5.0,1,2,5
455,416.5,81.0,2.2,0,6,9
456,161.24,26.0,2.5,1,1,4
457,178.51,9.2,1.8,0,5,1
458,208.21,75.3,1.0,2,3,4
459,243.26,63.2,0.7,1,3,0
460,404.3,37.6,4.8,0,2,7
461,229.63,159.0,-0.7,4,5,1
462,327.5,35.0,4.8,0,4,5
463,186.21,46.3,1.3,1,2,1
464,135.21,26.0,1.8,1,1,2
465,1046.2,409.0,-1.7,13,15,29
466,352.5,55.6,3.7,1,4,7
467,318.37,86.4,2.2,1,4,5
468,210.23,75.3,1.1,2,3,3
469,253.34,11.4,1.8,0,2,0
470,297.4,58.4,3.8,2,3,5
471,366.8,54.4,5.2,1,3,2
472,289.4,49.8,1.8,1,4,5
473,280.39,71.8,1.9,1,4,2
474,186.25,17.0,1.5,1,1,0
475,366.5,8.2,5.8,0,1,5
476,286.33,102.0,0.9,3,6,4
477,717.9,174.0,3.9,4,13,7
478,330.2,35.6,2.8,1,3,5
479,279.13,75.3,2.3,2,3,3
480,341.4,48.0,2.4,0,5,3
481,476.5,180.0,1.5,1,11,13
482,396.5,49.4,3.6,1,4,8
483,326.5,48.8,4.3,0,4,4
484,366.4,141.0,0.5,1,8,9
485,369.4,65.1,1.5,0,6,4
486,480.5,127.0,0.9,0,10,13
487,363.9,47.6,4.7,1,4,8
488,369.5,61.4,2.4,1,5,5
489,293.74,55.4,3.3,1,4,4
490,255.74,52.3,2.8,1,3,5
491,3283.6,1390.0,-14.6,49,50,109
492,155.15,46.6,0.8,0,3,2
493,318.5,37.3,4.9,1,2,1
494,208.26,51.1,0.2,1,2,4
495,244.22,78.9,-0.3,2,5,2
496,401.9,64.4,3.5,0,5,7
497,437.5,67.0,4.4,1,6,9
498,382.5,122.0,1.2,3,7,8
499,424.5,89.9,1.7,3,5,8
500,240.3,55.1,2.2,2,2,2
501,454.4,211.0,-1.8,5,12,9
502,250.34,35.8,3.7,1,2,5
503,308.3,70.5,3.0,1,5,4
504,192.3,29.3,2.2,1,2,3
505,337.5,49.3,2.1,2,3,8
506,430.9,40.6,3.5,0,4,7
507,293.4,18.1,4.5,0,1,3
508,261.4,12.5,3.6,0,2,7
509,365.4,158.0,-2.0,4,7,4
510,401.5,35.6,4.1,1,4,7
511,130.18,26.3,1.9,0,2,5
512,309.4,82.0,0.7,4,5,6
513,521.0,107.0,3.0,1,7,8
514,358.4,35.9,3.5,1,5,7
515,378.6,34.0,6.6,0,3,6
516,389.5,38.9,4.4,0,4,4
517,344.8,49.8,3.3,0,3,3
518,448.4,44.8,4.6,1,4,7
519,285.8,12.5,3.8,0,2,0
520,414.5,43.8,4.1,1,3,7
521,3563.2,1490.0,-8.0,51,49,119
522,330.4,89.6,3.3,0,6,4
523,478.9,182.0,-1.3,6,9,2
524,873.1,170.0,3.8,3,14,8
525,399.9,54.0,4.7,1,4,3
526,290.38,23.6,2.4,0,4,5
527,267.4,32.3,2.9,2,2,3
528,327.4,36.4,3.3,0,5,6
529,385.5,81.9,1.2,1,5,8
530,296.37,49.6,1.8,0,4,1
531,430.9,119.0,1.9,3,5,10
532,753.9,165.0,2.7,5,10,7
533,362.5,66.0,1.4,1,5,3
534,327.4,49.8,2.6,1,4,9
535,381.4,52.6,3.7,1,4,6
536,249.3,12.0,3.7,1,1,2
537,504.6,107.0,3.6,1,8,8
538,437.6,40.2,5.2,0,5,6
539,470.3,138.0,2.9,2,7,4
540,355.3,23.6,4.0,0,2,4
541,503.6,70.4,3.6,0,7,7
542,207.27,38.3,2.4,1,2,3
543,361.5,23.5,5.0,1,2,1
544,409.6,52.1,5.0,0,5,7
545,539.6,207.0,-0.2,3,9,6
546,309.4,74.1,1.9,1,6,5
547,197.66,29.1,1.7,1,1,4
548,320.4,36.7,3.6,0,3,3
549,295.4,32.7,2.8,1,3,0
550,240.3,41.1,2.9,2,2,4
551,313.3,81.7,2.2,1,5,6
552,296.4,69.7,3.7,1,3,1
553,352.5,41.6,3.8,1,3,8
554,325.8,18.1,4.7,0,1,3
555,312.4,17.8,4.7,0,1,5
556,336.3,83.6,3.3,1,4,3
557,231.29,29.5,2.4,0,3,3
558,251.33,21.1,3.9,0,2,4
559,494.5,99.1,3.2,1,9,4
560,275.4,29.5,3.2,0,3,5
561,372.5,91.7,1.9,2,5,2
562,442.4,182.0,0.3,6,9,2
563,269.4,21.3,4.1,1,2,8
564,293.4,11.4,4.2,0,2,5
565,358.4,67.9,2.3,1,5,5
566,244.31,104.0,0.3,3,4,5
567,464.9,182.0,0.7,6,9,2
568,245.34,71.6,2.0,2,3,4
569,391.5,39.3,2.8,1,4,5
570,770.9,247.0,4.0,2,14,19
571,228.29,40.5,3.3,2,2,2
572,367.5,19.4,5.5,0,4,3
573,287.11,75.3,1.5,2,3,4
574,315.4,43.7,3.9,2,3,3
575,418.3,64.4,3.1,0,4,3
576,243.16,0.0,2.8,0,0,3
577,585.6,332.0,-7.9,13,17,10
578,310.19,34.4,3.1,1,3,2
579,256.1,38.3,2.4,1,2,0
580,271.15,32.3,2.6,1,2,4
581,334.2,12.5,4.0,0,2,6
582,223.07,72.2,1.1,2,2,2
583,252.73,0.0,2.8,0,0,0
584,574.6,46.6,7.9,0,5,16
585,230.06,63.3,2.8,2,2,1
586,254.08,46.2,1.3,1,2,1
587,433.0,6.5,7.1,0,2,6
588,293.4,3.2,5.2,0,1,3
589,311.5,12.5,5.1,0,2,7
590,248.32,65.3,1.9,2,4,6
591,195.21,58.6,0.8,2,3,5
592,221.29,30.5,2.5,1,3,5
593,212.25,75.3,1.7,2,3,4
594,215.33,49.3,2.4,2,2,8
595,293.4,3.2,5.1,0,1,4
596,116.16,26.3,1.8,0,2,4
597,392.4,98.9,0.1,3,9,3
598,186.25,72.2,2.0,2,2,4
599,76.15,64.2,2.1,0,2,0
600,237.09,72.2,1.5,2,2,3
601,267.32,108.0,-0.1,5,4,5
602,394.5,49.8,3.8,0,4,8
603,235.32,40.5,0.4,1,3,2
604,290.36,69.0,3.1,1,5,8
605,292.37,70.6,1.0,3,4,6
606,427.5,210.0,-1.4,3,11,7
607,300.4,37.3,6.3,1,2,5
608,247.33,32.7,2.4,1,3,2
609,323.4,21.1,3.7,0,3,3
610,372.29,6.5,4.8,0,2,6
611,349.4,138.0,0.4,3,6,4
612,425.4,32.8,4.3,0,3,4
613,380.4,103.0,1.7,2,6,4
614,408.4,26.7,3.7,1,7,4
615,354.4,23.6,3.6,0,5,4
616,448.6,95.2,3.4,2,5,10
617,368.5,112.0,4.4,2,5,8
618,337.4,89.8,3.4,2,5,5
619,331.5,65.6,4.5,1,5,8
620,389.8,118.0,0.0,2,7,3
621,373.8,97.3,1.0,1,6,2
622,275.33,135.0,0.9,3,4,3
623,453.9,138.0,2.6,2,8,4
624,389.5,115.0,-0.6,2,6,3
625,398.3,6.5,3.9,0,2,4
626,285.69,119.0,0.8,3,7,2
627,454.6,59.4,4.3,1,4,9
628,268.15,36.4,2.1,2,1,2
629,314.41,112.0,0.8,1,6,9
630,276.4,54.6,3.2,1,4,4
631,309.4,29.8,3.3,1,3,3
632,307.4,39.1,2.5,1,3,3
633,311.4,39.1,2.2,1,4,3
634,327.4,55.2,3.0,1,4,3
635,394.9,41.6,5.0,1,4,5
636,524.7,114.0,5.7,0,7,9
637,391.5,28.5,4.1,0,2,5
638,329.3,23.6,4.0,0,2,4
639,360.4,83.8,1.3,2,5,2
640,308.4,43.8,4.9,1,3,5
641,441.5,89.9,4.9,0,6,6
642,411.4,158.0,2.0,5,8,1
643,264.5,36.4,2.6,2,1,2
644,195.65,50.4,1.2,2,1,0
645,382.24,36.3,3.6,0,3,5
646,403.3,23.6,4.7,0,2,4
647,380.5,42.0,5.9,1,2,5
648,241.24,108.0,-2.1,3,4,3
649,383.5,69.6,1.9,0,6,6
650,321.9,50.6,3.5,1,2,2
651,292.2,12.0,4.4,1,1,2
652,197.18,36.4,0.9,2,3,2
653,587.7,118.0,6.0,3,6,12
654,393.3,36.7,3.8,0,3,4
655,391.3,23.6,4.6,0,2,6
656,311.4,40.5,2.7,1,3,2
657,344.23,6.5,3.8,0,2,3
658,324.4,115.0,2.5,2,6,8
659,414.5,115.0,4.4,2,6,10
660,270.71,41.5,2.8,1,2,1
661,206.24,72.2,0.6,2,2,4
662,425.6,62.2,3.6,2,5,4
663,342.26,98.4,2.1,2,4,8
664,326.35,90.0,3.6,2,5,5
665,260.37,32.3,2.9,1,2,7
666,380.4,71.6,3.7,2,6,5
667,410.9,50.8,4.3,1,5,4
668,384.9,62.4,4.4,2,5,4
669,297.8,3.2,4.6,0,1,1
670,259.68,36.4,2.5,2,3,2
671,428.3,53.1,3.2,0,4,6
672,434.5,101.0,2.5,2,7,4
673,406.5,31.8,6.5,0,6,4
674,442.4,53.1,3.7,0,4,7
675,314.37,166.0,1.2,4,5,5
676,418.3,64.4,3.1,0,4,3
677,437.6,26.8,4.6,0,4,8
678,370.4,62.2,2.5,1,6,6
679,398.3,43.9,2.4,0,3,4
680,409.3,56.9,2.8,1,4,4
681,440.5,88.5,5.1,2,5,8
682,544.6,93.2,5.4,2,5,11
683,522.6,92.4,5.0,3,5,10
684,468.5,88.5,5.4,2,5,10
685,446.5,59.8,5.2,1,3,7
686,353.5,69.8,1.7,2,4,6
687,467.6,54.5,5.9,1,4,10
688,380.5,50.8,3.8,1,4,6
689,581.6,336.0,-8.0,12,15,9
690,409.4,51.8,4.4,0,3,4
691,302.4,57.7,2.0,3,3,7
692,409.4,51.8,4.4,0,3,4
693,119.37,0.0,2.3,0,0,0
694,245.66,81.8,1.2,2,4,6
695,296.77,74.7,2.2,1,3,2
696,305.4,30.3,4.3,0,3,4
697,329.8,26.8,2.9,0,2,5
698,401.0,52.0,4.3,1,4,5
699,311.8,12.5,4.0,0,2,0
700,387.9,37.4,4.5,0,4,7
701,265.35,42.8,2.3,1,2,1
702,367.5,38.8,3.9,0,4,4
703,237.34,12.0,3.5,1,1,2
704,183.2,60.8,0.2,2,4,3
705,211.26,60.8,1.0,2,4,5
706,253.34,55.4,2.6,1,3,3
707,440.5,235.0,-0.7,2,12,7
708,271.4,23.5,2.6,1,2,2
709,216.24,50.7,1.7,1,3,2
710,214.31,19.0,2.8,1,1,1
711,236.27,75.3,1.8,2,3,2
712,84.16,0.0,3.4,0,0,0
713,433.5,35.0,5.6,0,7,5
714,42.08,0.0,1.6,0,0,0
715,237.3,43.1,2.4,1,1,1
716,301.4,33.1,3.6,1,2,4
717,190.24,32.3,0.2,1,2,0
718,420.5,64.3,2.5,1,5,4
719,357.4,90.7,0.3,2,5,6
720,371.8,62.2,2.8,0,4,3
721,263.38,73.6,2.8,2,4,8
722,359.6,53.8,5.9,0,3,10
723,251.28,55.6,1.5,1,2,1
724,208.26,50.4,2.0,2,3,5
725,236.48,58.6,1.8,2,3,3
726,271.27,128.0,0.5,3,5,7
727,329.8,66.6,2.1,1,2,1
728,499.6,66.8,3.6,1,5,11
729,175.18,52.3,1.6,1,2,3
730,206.2,72.6,0.2,1,3,2
731,350.4,58.6,3.1,1,5,8
732,425.6,72.3,3.1,1,6,8
733,513.5,197.0,1.5,6,11,3
734,295.4,31.9,2.9,1,3,3
735,335.78,69.7,0.5,1,3,3
736,661.7,268.0,1.0,2,15,13
737,584.7,305.0,0.2,4,15,10
738,645.7,271.0,-0.7,4,13,9
739,612.6,259.0,-0.1,5,13,9
740,479.5,244.0,-0.9,3,13,7
741,523.6,256.0,0.2,3,13,9
742,594.6,305.0,-1.3,4,15,10
743,568.6,245.0,1.1,3,13,12
